Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Training To Support The Nhs Health Checks Programme,London Borough Of Bromley,Opportunity,Open,England,2024-05-30 12:00:00,  £40000,2024-05-01
Manor Gatehouse Refurbishment,Dartford Borough Council,Opportunity,Open,South East,2024-05-30 12:00:00,  £320000,2024-05-01
860607 Adaptations To A Property Located In Chesterfield.,Derbyshire County Council,Opportunity,Open,England,2024-05-29 11:00:00,  £52000,2024-05-01
Qq24/002 A Retail And Town Centre Study,Tamworth Borough Council,Opportunity,Open,B79 7Bz,2024-05-29 12:00:00,  £0,2024-05-01
Young Carers In Schools Evaluation: Invitation To Tender,Carers Trust,Opportunity,Open,England,2024-05-22 23:59:00,  £30000 to £40000,2024-05-01
"Culturally Specific Orthodox Jewish Universal Youth Services - Centre Based (Locality), Outreach And Detached Youth Programmes",London Borough Of Hackney,Opportunity,Open,England,2024-06-05 12:00:00,  £584648.50,2024-05-01
Regulatory Physical Testing Services,International Nuclear Services,Opportunity,Open,Wa3 6Gr,2024-05-31 12:00:00,  £100000 to £1000000,
British Library Security Systems Consultant,British Library,Opportunity,Open,Any Region,2024-06-05 00:00:00,  £625000,2024-05-01
Rmcs 042 - Supply & Delivery Of Kitchen Disposables & Light Equipment,Shropshire Council,Opportunity,Open,West Midlands,2024-05-31 12:00:00,  £355000,2024-05-01
T23/0065 - Private Building Control Services,Northumbria University,Opportunity,Open,North East,2024-06-04 12:00:00,  £400000,2024-05-01
Family Time Contact Services,London Borough Of Barking And Dagenham,Opportunity,Open,Ig11 7Lu,2024-06-07 12:00:00,  £1,2024-04-30
Green Skills Equipment,Nottingham College,Opportunity,Open,Ng1 7Hb,2024-05-30 12:00:00,  £185000 to £200000,
City Of London School For Girls Summer Works 2024-2027 Consultancy Services,City Of London Corporation,Opportunity,Open,London,2024-06-11 12:00:00,  £500000,2024-04-30
Design Print And Posting Solution Service,Salix Homes Limited,Opportunity,Open,North West,2024-06-04 13:00:00,  £280000,2024-04-30
"Tender For Roof Gutter Upgrades At Marlbrook Primary School, Hereford",Herefordshire Council,Opportunity,Open,West Midlands,2024-05-28 12:00:00,  £105000,2024-04-30
Phg Kitchen And Bathroom Maintenance - Package Of Works,Progress Housing Group,Opportunity,Open,England,2024-05-31 12:00:00,  £150000,2024-04-30
"Testing, Servicing, Maintenance And Repairs To Hoists And Freestanding Equipment",Bath And North East Somerset Council,Opportunity,Open,England,2024-05-30 12:00:00,  £180000 to £300000,
Rfi0039 Rn Modular/Containerised Asw Concepts,Ministry Of Defence,Early Engagement,Open,Any Region,2024-05-31 00:00:00,Publication date 30 April 2024,
Nottingham City Council White Goods Requirements,Nottingham City Council,Opportunity,Open,United Kingdom,2024-05-29 17:00:00,  £0,2024-04-30
"Prp254 Electrical Rewire At Marsh Lane Primary School, Marsh Lane Primary School, School Lane, Sheffield S21 5Rs",Derbyshire County Council,Opportunity,Open,England,2024-05-28 11:00:00,  £65000,2024-04-30
Iso 11 Incinerator Life Extension -  Project Management,The Pirbright Institute,Opportunity,Open,Gu24 0Nf,2024-06-17 12:00:00,  £75000 to £100000,2024-04-30
Administration And Management Of The Matrix Standard - Market Engagement Event,Department For Education,Future Opportunity,Open,Any Region,,  £0 to £5000000,2024-04-30
"Herald Court, Dudley - Rebrand",Stonewater Limited,Opportunity,Open,West Midlands,2024-06-04 12:00:00,  £1200000,2024-04-30
Nhse963 - Adult Critical Care Transfer Service,North Of England Commissioning Support,Opportunity,Open,Yorkshire And The Humber,2024-05-24 12:00:00,  £2089000,
Residents Survey 2024 - 2026,North Tyneside Council,Opportunity,Open,Ne27 0By,2024-05-31 12:00:00,  £80000,2024-04-30
Supply Of Ppe,Ansa,Opportunity,Open,Cw10 9Pw,2024-05-31 12:00:00,  £800000,2024-04-30
Gb-Bath: The Provision Of 8W Laboratory Refurbishment,University Of Bath,Opportunity,Open,South West,2024-05-28 14:00:00,  £1000000 to £5000000,2024-04-30
Ps24128 Eastern Europe Accelerator Programme,Uk Shared Business Services Limited,Opportunity,Open,United Kingdom,2024-06-17 11:00:00,  £995000,2024-04-30
Innovating Traffic Management Fund Eoi Event,West Midlands Combined Authority,Early Engagement,Open,West Midlands,2024-05-28 00:00:00,Publication date 30 April 2024,
Supply Of 1 X Telescopic Handler C/W Bucket For Outright Purchase,Stoke-On-Trent City Council,Opportunity,Open,England,2024-05-28 12:00:00,  £150000,2024-04-30
Supply Of Glazing Materials,Newcastle City Council,Opportunity,Open,North East,2024-05-31 10:00:00,  £200000 to £300000,2024-04-30
"Student Support Services ""Be Well Talk Now""",University Of Bath,Opportunity,Open,South West,2024-06-04 14:00:00,  £120000,2024-04-30
Catering Services,Bip Solutions Limited,Opportunity,Open,South East,2024-06-07 13:00:00,  £3000000,2024-04-30
Barbican Centre Catering Services - Tender Opportunity,City Of London Corporation,Opportunity,Open,London,2024-06-03 12:00:00,  £55500000,2024-04-30
Banking Services,Nottinghamshire County Council,Opportunity,Open,England,2024-05-30 12:00:00,  £200000,2024-04-30
Gb-London: 002400 - Get Ready For Business Growth - Phase 1 Evaluation,The British Library,Opportunity,Open,Any Region,2024-05-27 12:00:00,  £10000 to £25000,
Cbc-1600-Fa-Md Eastern Highways Alliance Framework 4,Central Bedfordshire Council,Opportunity,Open,Sg17 5Tq,2024-06-03 12:00:00,  £0,2024-04-30
Brighter Places Repairs And Voids Contract,Echelon Consultancy Ltd,Opportunity,Open,South West,2024-06-03 12:00:00,  £93750000,2024-04-30
Town Hall Mobile Bar Service,Bip Solutions Limited,Opportunity,Open,East Of England,2024-05-27 12:00:00,  £250000,2024-04-30
Tender For The Provision Of Refurbishment Of Part Of Kirk Hallam Changing Rooms To Form A Community Space,Erewash Borough Council,Opportunity,Open,East Midlands,2024-05-31 12:00:00,  £27788,2024-04-30
Theatre Lighting Upgrade Project,Brentwood Theatre Trust,Early Engagement,Open,Cm15 8Ag,2024-06-30 00:00:00,Publication date 30 April 2024,
Multi-Use Games Area - Temple Herdewyke,Burton Dassett Parish Council,Early Engagement,Open,Cv47 2Pb,2024-07-31 00:00:00,Publication date 30 April 2024 last edited 30 April 2024,
Gilbertstone Primary School ~ Catering Tender,Gilbertstone Primary School,Opportunity,Open,West Midlands,2024-06-14 12:00:00,  £650000,2024-04-30
Mbc Pond Desilting And Bank Reconstruction,Maidstone Borough Council,Opportunity,Open,England,2024-06-13 12:00:00,  £126000,2024-04-30
The Supply And Installation Of Festive Lights   2024 - 2027 For Ashfield District Council,Nottinghamshire County Council,Opportunity,Open,East Midlands,2024-06-03 12:00:00,  £550000,2024-04-30
All Saints Academy ~ Cleaning Tender,All Saints Academy,Opportunity,Open,South West,2024-06-14 12:00:00,  £1025000,2024-04-30
Management Of Rental Portfolio (Aequus Developments Ltd),Aequus Developments Ltd,Opportunity,Open,England,2024-06-14 12:00:00,  £80000,2024-04-30
"Ca13994 - South Devon College Itt Legal Services - Including Lot 1 - Hr Retainer, College / Student Matters And Lot 2 - Property Services.",South Devon College,Opportunity,Open,Tq4 7Ej,2024-05-23 12:00:00,  £200000,2024-04-30
Mobile Elevated Working Platforms Framework 2024,Leeds City Council,Opportunity,Open,Yorkshire And The Humber,2024-05-29 12:00:00,  £160000,2024-04-30
Pest Control Services,Mhs Homes Group,Opportunity,Open,South East,2024-05-31 12:00:00,  £180000 to £300000,
Rb714 External Audit,Leeds Beckett University,Opportunity,Open,Yorkshire And The Humber,2024-06-04 12:00:00,  £50000,2024-04-30
Fhg24007 Soft Market Testing: Customer Centric Training,Futures Housing Group,Early Engagement,Open,United Kingdom,2024-07-30 00:00:00,Publication date 30 April 2024,
Uhb Automated Temperature Monitoring,University Hospitals Birmingham Nhs Foundation Trust,Opportunity,Open,B15 1Nu,2024-05-31 12:00:00,  £120000 to £29000,2024-04-30
Ca13995 - Hartlepool College Of Further Education - Request For Information (Website),Hartlepool College Of Further Education,Early Engagement,Open,Ts24 7Nt,2024-07-30 00:00:00,Publication date 30 April 2024,
Homecare And Support Service,Darlington Borough Council,Opportunity,Open,England,2024-06-04 12:00:00,  £0,2024-04-30
2023-666 Vote Election Management,Ahdb,Opportunity,Open,Cv3 4Pe,2024-06-21 12:00:00,  £40000 to £50000,2024-04-30
Ehrc 2425-01 Graphic Design Framework,Equality And Human Rights Commission,Opportunity,Open,United Kingdom,2024-06-04 13:00:00,  £0 to £280000,2024-04-30
Fire Safety Course'S,Tyne & Wear Fire & Rescue,Opportunity,Open,Sr5 3Qy,2024-05-29 12:00:00,  £0,2024-04-30
"Sexual Health Outreach Services For Lambeth, Southwark And Lewisham",London Borough Of Lambeth,Opportunity,Open,Sw2 1Eg,2024-06-07 12:00:00,  £4500000,2024-04-30
Ruan Minor Village Hall Renovations,Ruan Minor Village Hall,Opportunity,Open,South West,2024-05-30 17:00:00,  £70000 to £90000,2024-04-29
Little Acorns Playgroup Building Refurbishment,Little Acorns Playgroup,Opportunity,Open,South West,2024-05-24 17:00:00,  £160000 to £180000,
"Ncc1397 Bellingham Groundworks, Roads & Sewers",Advance Northumberland Limited,Opportunity,Open,North East,2024-05-24 12:00:00,  £1400074,
Town Centre Play Train,Ashford Borough Council,Opportunity,Open,Tn23 1Pl,2024-06-11 10:00:00,  £100000,2024-04-29
Uclh-4376 - Catering Provision @ 250 Euston Road,University College London Hospitals Nhs Foundation Trust,Opportunity,Open,United Kingdom,2024-06-21 12:00:00,  £225000,2024-04-29
Csi/Ph Bnssg Integrated Sexual Health Service,Bristol City Council,Opportunity,Open,England,2024-06-24 12:00:00,  £64625880,
Gsp1314 Supply Leather Hides For The House Of Commons Benches,House Of Commons,Opportunity,Open,Sw1A 0Aa,2024-05-29 12:00:00,  £150000,2024-04-29
Wolverley Ce Secondary School Re-Roofing Phase 2,Wolverley Ce Secondary School,Opportunity,Open,West Midlands,2024-05-24 12:00:00,  £350000,2024-04-29
Abbey Park School Re-Roofing,Abbey Park School,Opportunity,Open,West Midlands,2024-05-24 12:00:00,  £400000,2024-04-29
"Refurbishment Of Basement At Pierremont Hall, Broadstairs, Kent",Broadstairs & St. Peter'S Town Council,Opportunity,Open,Ct10 1Jx,2024-06-04 12:00:00,  £90000,2024-04-29
Tower Bridge Fire Suppression Works,City Of London Corporation,Opportunity,Open,London,2024-06-10 12:00:00,  £6500000,2024-04-29
"2251 Tender For P1425 Queens Building Re-Roofing And Associated Works,  De Montfort University, Leicester.",De Montfort University,Opportunity,Open,Le1 9Bh,2024-05-22 17:00:00,  £220000 to £225000,
Service Entry Medical Provision For Raf,Ministry Of Defence,Opportunity,Open,Hp14 4Ue,2024-05-29 12:00:00,  £6800000 to £9600000,2024-04-29
Damp Proof Courses,West Lancashire Borough Council,Early Engagement,Open,England,2024-07-29 00:00:00,Publication date 29 April 2024,
Withinfields Primary School - Phase 2 - Sen Refurbishment Works,The Borough Council Of Calderdale,Opportunity,Open,Yorkshire And The Humber,2024-05-24 12:00:00,  £130000,2024-04-29
Ca13957 - Kirklees College - External Cleaning,Kirklees College,Opportunity,Open,Hd1 5Nn,2024-06-24 13:00:00,  £0,
Nhs South Yorkshire Icb  -Safe Space (Learning Disability / Autism) Service,Nhs South Yorkshire Integrated Care Board,Opportunity,Open,S1 3Fg,2024-05-31 12:00:00,  £0 to £3100000,2024-04-29
Access Private Equity Investment Allocators,Hampshire County Council,Opportunity,Open,So23 8Uj,2024-05-24 14:00:00,  £2000000000,
Business Rates Review,"Police, Fire And Crime Commissioner For Northamptonshire",Opportunity,Open,Nn8 6Gs,2024-06-03 13:00:00,  £0 to £100000,2024-04-29
Cleaning Services At Livewest Main Offices,Livewest Homes Limited,Opportunity,Open,England,2024-05-29 16:00:00,  £300000 to £1000000,2024-04-29
Temple Herdewyke Village Hall - New Build,Burton Dassett Parish Council,Early Engagement,Open,Cv47 2Pb,2024-07-31 00:00:00,Publication date 29 April 2024,
Procurement Of A Water Resource Management Plan Consultancy,Saint Helena Government,Opportunity,Open,"Saint Helena, Ascension And Tristan Da Cunha",2024-06-10 13:00:00,  £0,2024-04-29
Framework For The Supply Only Of Highways Materials,Westmorland And Furness Council,Opportunity,Open,England,2024-05-29 14:00:00,  £8000000,2024-04-29
West Berkshire Vegetation Clearances,West Berkshire Council,Opportunity,Open,Rg14 5Ld,2024-05-27 12:00:00,  £0 to £24000,2024-04-29
Audit Management System,"Cumbria, Northumberland Tyne And Wear Nhs Foundation Trust",Opportunity,Open,Ne3 3Xt,2024-05-30 12:00:00,  £25000,2024-04-29
Tax Advisory And Compliance Services,University Of Cumbria,Opportunity,Open,Ca1 2Hh,2024-05-29 12:00:00,  £0,2024-04-29
P5871 Cleaning And Associated Services,Tower Hamlets,Opportunity,Open,England,2024-05-30 12:00:00,  £0,2024-04-29
Invitation To Tender For Sh1053 Boiler Planned Preventative Maintenance And Reactive Call Services,Southern Health Nhs Foundation Trust,Opportunity,Open,South East,2024-06-04 12:00:00,  £100000,2024-04-29
Learning Management System,Bluelight Commercial,Opportunity,Open,Bd11 2Dy,2024-05-29 12:00:00,  £200000 to £250000,2024-04-29
Tender For The Provision Of Leisure Management Operating System,Halton Borough Council,Opportunity,Open,England,2024-06-03 10:00:00,  £120000,2024-04-29
Dft - Train The Trainer,Dftc - Department For Transport,Opportunity,Open,Sw1P 2Aa,2024-05-24 11:00:00,  £0,
Woking High School Academy Trust,Woking High School Academy Trust,Opportunity,Open,South East,2024-06-07 12:00:00,  £600000,2024-04-29
Next Generation Countermeasure - 704824450 - Contract Notice,Ministry Of Defence,Opportunity,Open,Any Region,2024-06-10 17:00:00,  £35000000,2024-04-29
Glovers Walk Demolition,Somerset Council,Opportunity,Open,England,2024-05-24 12:00:00,  £1000000,
Property Maintenance Services For British Embassy Sofia,Foreign Commonwealth And Development Office,Opportunity,Open,Any Region,2024-05-29 23:59:00,  £0,2024-04-29
L24048-T-Sg - Civils Works And Maintenance Framework Contract,London Luton Airport,Opportunity,Open,Lu2 9Ly,2024-06-12 12:00:00,  £8000000 to £10000000,
"Cpu 6168 Bus Shelter & Free-Standing Unit Supply, Maintenance, And Advertising",Nottingham City Council,Opportunity,Open,East Midlands,2024-05-31 12:00:00,  £0,
Trg Cladding Remediation Framework,The Riverside Group Limited,Opportunity,Open,L24 8Rf,2024-05-28 12:00:00,  £0,
Swan House Housing Management,North East Lincolnshire Council,Opportunity,Open,Yorkshire And The Humber,2024-05-31 12:00:00,  £0 to £1560000,2024-04-29
"Automatic Doors, Barriers And Gates (Civic And Commercial Properties) 2024-26",Leeds City Council,Opportunity,Open,Ls1 1Ur,2024-05-28 12:00:00,  £0,2024-04-29
Cov - West Midlands Independent Fostering Agency Framework,Coventry City Council (Cov),Opportunity,Open,Cv1 2Gn,2024-05-31 12:00:00,  £0 to £2750000000,
Closed Landfill Monitoring,Cheshire West And Chester Borough Council,Opportunity,Open,England,2024-05-30 10:00:00,  £500000,2024-04-29
Removal And Storage Of Bodies On Behalf Of His Majesty'S Coroner - Area 7 Norwich,Norfolk County Council,Opportunity,Open,Nr1 2Dh,2024-05-29 11:00:00,  £150000,
Gb-Bristol: Contract For The 2023 Ofs Teaching Excellence Framework (Tef) Evaluation,Office For Students,Opportunity,Open,South West,2024-06-07 10:00:00,  £50000 to £100000,2024-04-29
Asbestos Testing Services,Greensquareaccord,Opportunity,Open,Sn14 0Gu,2024-05-24 12:00:00,  £0,2024-04-29
International Maritime Surveillance Services For Marine Management Organisation,Defra,Opportunity,Open,Pe2 8Yy,2024-05-23 09:00:00,  £1500000,2024-04-29
Qehkl183 Cyber Ho Maintenance,The Queen Elizabeth Hospital King'S Lynn Nhs Foundation Trust,Opportunity,Open,Pe30  4Et,2024-06-14 12:00:00,  £115000,2024-04-29
Minor Works Services (For Schemes Up To £1M Ex Vat),Neupc Ltd,Opportunity,Open,North East,2024-05-29 12:00:00,  £40000000,2024-04-29
Gb-Colchester: 0366 - Legionella Risk Assessments & Monitoring Programme,Colchester City Council,Opportunity,Open,East Of England,2024-05-28 12:00:00,  £100000 to £500000,
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough Of Haringey - Parks And Leisure,Opportunity,Open,United Kingdom,2024-07-15 12:00:00,  £0,2024-04-26
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough Of Haringey - Parks And Leisure,Opportunity,Open,United Kingdom,2024-07-01 12:00:00,  £0,2024-04-26
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough Of Haringey - Parks And Leisure,Opportunity,Open,United Kingdom,2024-06-24 11:00:00,  £0,2024-04-26
Tree Maintenance - Planned - Tree Maintenance - Planned - Parks,London Borough Of Haringey - Parks And Leisure,Opportunity,Open,United Kingdom,2024-07-01 11:00:00,  £0,2024-04-26
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough Of Haringey - Parks And Leisure,Opportunity,Open,United Kingdom,2024-06-03 10:00:00,  £0,2024-04-26
Wildlife Photographer Of The Year Touring Exhibition Photographic Printing,Natural History Museum Trading Company Limited,Opportunity,Open,Any Region,2024-05-31 12:00:00,  £263000,2024-04-26
Responsive Maintenance Framework,Curo Group,Opportunity,Open,Ba2 1Ep,2024-05-28 12:00:00,  £7000000 to £14000000,2024-04-26
Framework For The Provision Of Acceptance And Processing Of Green Waste,The North Yorkshire Council,Opportunity,Open,Yorkshire And The Humber,2024-05-29 09:00:00,  £2171684,2024-04-26
"Beechwood Close Retaining Wall, Bowness-On-Windermere",Westmorland And Furness Council,Opportunity,Open,England,2024-05-31 12:00:00,  £150000,2024-04-26
Ppm Emergency Lighting And Remedial Work,Mersey And West Lancashire Teaching Hospitals Nhs Trust,Opportunity,Open,Pr8 6Pn,2024-06-03 12:00:00,  £0,2024-04-26
Tdc Instructor Locker Room Renovation,South Yorkshire Fire And Rescue Service,Opportunity,Open,Yorkshire And The Humber,2024-05-22 17:00:00,  £0,2024-04-26
Nun - Reactive Minor Building Repairs - Responsive Repairs Team,Nuneaton And Bedworth Bc (Nun),Opportunity,Open,Cv11 5Aa,2024-05-24 12:00:00,  £0 to £300000,
Request For Information: Travel Management Company For Action For Children,Action For Children,Opportunity,Open,Wd18 8Ag,2024-06-07 12:00:00,  £0,2024-04-26
Provision Of Ymca Refurbishment / Upgrade Works,Barnsley Metropolitan Borough Council,Opportunity,Open,S70 2Ta,2024-05-24 12:00:00,  £1800000,2024-04-26
Management System For Alive West Norfolk,Borough Council Of King'S Lynn & West Norfolk,Opportunity,Open,East Of England,2024-05-31 12:00:00,  £180000,2024-04-26
Grounds Maintenance Services For Parks And Open Spaces,Teignbridge District Council,Opportunity,Open,South West,2024-05-28 12:00:00,  £6620000,
News Bulk Haulage Tender 2024,Norse Commercial Services Ltd,Opportunity,Open,East Of England,2024-06-03 11:00:00,  £1323000,2024-04-26
"Airfield Business Park, Market Harborough",Leicestershire County Council,Opportunity,Open,England,2024-06-10 23:59:00,  £9000000 to £13000000,
Wdc - Royal Pump Rooms Roof Restoration,Warwick District Council (Wdc),Opportunity,Open,Cv32 5Hz,2024-06-03 12:00:00,  £2000000,
"Managed Services Solution For Removals, Storage, Relocation, Specialist Disposal And Associated Trades And Services",Nottinghamshire County Council,Opportunity,Open,England,2024-05-30 12:00:00,  £400000,2024-04-26
Catering Equipment,University Of Bristol,Opportunity,Open,Bs1 5Ds,2024-05-31 10:00:00,  £300000,2024-04-26
General Construction Multi Trade - Gcmt - Commercial (20% Vat),London Borough Of Bromley,Opportunity,Open,United Kingdom,2024-05-24 12:00:00,  £50000 to £60000,2024-04-26
"Vehicle Inspection, Maintenance, Recovery And Repair Services",Buckinghamshire Council,Opportunity,Open,England,2024-05-31 12:00:00,  £1500000,2024-04-26
Ca13988 - Eko Trust - M&E Maintenance & Compliance Services,Eko Trust,Opportunity,Open,Ig11 0Hz,2024-05-28 10:00:00,  £0,2024-04-26
"Met Police__Coupa Event #1631_ Prior Information Notice (Pin) & Request For Information (Rfi) - The Provision Of Vehicle Disposal Services For Mps, Vehicle Recovery & Examination Services (Vres).",Metropolitan Police Service,Early Engagement,Open,London,2024-06-07 00:00:00,Publication date 26 April 2024,
Gb-Kings Lynn: Target Hardening Services,Borough Council Of King'S Lynn & West Norfolk,Opportunity,Open,East Of England,2024-05-27 12:00:00,  £10000 to £25000,2024-04-26
Plymouth Heat Network Development Partner,Plymouth City Council,Future Opportunity,Open,England,,  £40000000,2024-04-26
Ehrc 2425-02 Scottish Parliamentary Monitoring,Equality And Human Rights Commission,Opportunity,Open,Scotland,2024-05-24 13:00:00,  £4000 to £16000,
Provision Of Office Furniture For Reading Borough Council & Reading Library - Espo Fw282_22,Reading Borough Council,Opportunity,Open,Rg1 2Lu,2024-05-24 23:59:00,  £1200000,2024-04-26
Provision Of Pharmaceutical Needs Assessment,Suffolk County Council,Opportunity,Open,Ip1 2Bx,2024-05-24 12:00:00,  £45000,
"Third Party Monitoring, Research And Accountability Programming In Ukraine",Foreign Commonwealth And Development Office,Early Engagement,Open,Any Region,2024-12-31 00:00:00,Publication date 26 April 2024,
Winter Gardens Project Management And Quantity Surveying,East Suffolk Council,Opportunity,Open,Nr30 2Qf,2024-05-31 14:00:00,  £0,2024-04-26
It Related Accessories And Parts (Itrap),Southern Universities Purchasing Consortium (Supc),Opportunity,Open,Any Region,2024-05-29 12:00:00,  £0 to £100000000,2024-04-26
Ukri-3885 Hilux Infrared Detector,Uk Research & Innovation,Opportunity,Open,South East,2024-06-04 14:00:00,  £200000,2024-04-26
"Framework Agreement For The Management Of Haulage, Sale/Disposal Of Recycling Products",Gloucestershire County Council,Opportunity,Open,England,2024-05-28 17:00:00,  £2760000,2024-04-26
Purchase Of Pm2.5 Instruments Suitable Primarily For Near Source Locations,Environment Agency,Opportunity,Open,Bs1 5Ah,2024-05-27 12:15:00,  £2000000 to £2800000,
Cemetery Access Road Resurfacing,Fair Oak & Horton Heath Parish Council,Opportunity,Open,South East,2024-06-04 12:00:00,  £28000,2024-04-26
Educational And Children&Apos;S Social Care Professionals Framework -  Ssq_485,Department For Education,Early Engagement,Open,Any Region,2024-07-31 00:00:00,Publication date 26 April 2024,
Provision Of Bus Services,Cumberland Council,Opportunity,Open,England,2024-05-28 12:00:00,  £900000 to £2500000,2024-04-26
Planned Installation Of Windows & Doors And Reactive Repairs,Norse Commercial Services Limited,Opportunity,Open,East Midlands,2024-05-31 11:00:00,  £3668000,2024-04-26
Vehicle Racking Solutions,Bournemouth Christchurch And Poole Council,Opportunity,Open,South West,2024-05-29 14:00:00,  £440000 to £490000,2024-04-26
Provision Of A Patient Administration System (Pas),University Hospitals Birmingham Nhs Foundation Trust,Opportunity,Open,B15 2Wb,2024-05-31 13:00:00,  £0,
Gb-Tendering: Epp0111 Holland Public Hall & Golf Green Hall,Tendering District Council,Opportunity,Open,East Of England,2024-05-28 10:00:00,  £50000 to £100000,2024-04-26
Western Gateway - Severn Estuary Commission Request For Proposals: Environment,Western Gateway,Opportunity,Open,United Kingdom,2024-05-24 17:00:00,  £100000,
Ypo - 001205 Electronic Catering Management And Payment Solutions,Ypo,Opportunity,Open,United Kingdom,2024-05-29 14:00:00,  £40000000,
Provision Of Security Services At The British High Commission Nairobi,Foreign Commonwealth And Development Office,Opportunity,Open,Any Region,2024-05-31 17:00:00,  £4724000,2024-04-26
"Invitation To Tender For The Design & Build Of Sand Play Improvements At Withy Grove Playground, Brindle Rd, Bamber Bridge, Preston Pr5 6Yj",South Ribble Borough Council,Opportunity,Open,North West,2024-05-31 12:00:00,  £0 to £150000,2024-04-26
Provision Of Flood Risk Management Support & Planning Application Review,London Borough Of Hillingdon,Opportunity,Open,Ub8 1Uw,2024-05-31 17:00:00,  £333000,2024-04-26
(Nu/2001) Longitudinal Business Survey,Newcastle University,Opportunity,Open,England,2024-05-31 23:59:00,  £875000,
Christian Action Housing Water Hygiene Services,Christian Action Housing Association Ltd (Enfield),Opportunity,Open,London,2024-05-28 12:00:00,  £500000,2024-04-26
"Gas Main Works Horwood To Keele Hall, University Of Keele",Keele University,Opportunity,Open,St5 5Bg,2024-05-28 12:00:00,  £130000,
"Contract For The Supply, Installation And Maintenance Of Mrf Infrastructure Equipment For Waste Treatment",Bristol Waste Company,Opportunity,Open,England,2024-05-24 12:00:00,  £0,2024-04-26
Event,Construction Industry Training Board,Opportunity,Open,Any Region,2024-05-30 17:00:00,  £700000,2024-04-26
Internal Audit,University Of Leeds,Opportunity,Open,Yorkshire And The Humber,2024-05-31 12:00:00,  £750000,2024-04-26
Ca13993 - Request For Information - North Middlesex University Hospital - Onsite Childcare Provision,Partners Procurement Service (Pps),Early Engagement,Open,N19 5Nf,2024-07-26 00:00:00,Publication date 26 April 2024,
Stdl-Proc-0086 - Branded Materials,South Tees Developments Limited,Opportunity,Open,England,2024-05-27 09:00:00,  £300000,2024-04-26
Woking High School Academy Trust - Catering Tender,Woking High School Academy Trust - Catering Tender,Opportunity,Open,South East,2024-05-31 09:00:00,  £850000,2024-04-26
Operations And Maintenance Of  Mine Water Treatment Schemes And  Legacy Assets,The Coal Authority,Opportunity,Open,"North East, North West, Yorkshire And The Humber, East Midlands, West Midlands, Scotland, Wales",2024-08-08 17:00:00,  £0,2024-04-25
"Somerset Ft Community Sites_Amb, Chilled & Frozen",Pelican Procurement Services,Opportunity,Open,South West,2024-05-27 10:00:00,  £0,2024-04-25
Broadacres Washroom Hygiene & Sanitary Services,Broadacres Housing Association,Opportunity,Open,"North East, Yorkshire And The Humber",2024-05-31 12:00:00,  £40000 to £100000,2024-04-25
Arcus Road / Chingley Close Passivhaus Development,Phoenix Community Housing,Opportunity,Open,London,2024-05-31 12:00:00,  £13000000 to £14000000,2024-04-25
"Supply Of Cleaning Materials, Uniform, Ppe And Equipment",Phoenix Community Housing,Opportunity,Open,London,2024-05-31 12:00:00,  £0,2024-04-25
Pan3026 - Cossington Street Pool Lining,Leicester City Council,Opportunity,Open,England,2024-05-28 12:00:00,  £95000,2024-04-25
Esph Cs Rdc - Main Contractor For Camber Sands Welcome Centre (Esph634),Rother District Council,Opportunity,Open,Tn39 3Jx,2024-05-23 12:00:00,  £0 to £1700000,
The Supply Of Influenza Vaccines,Leidos Supply,Opportunity,Open,Any Region,2024-05-28 13:00:00,  £1040000 to £2600000,2024-04-25
The Provision Of Aviation Optometry Services For Royal Air Force (Raf) Recruiting And Selection - Cf Opportunity,Ministry Of Defence,Opportunity,Open,East Midlands,2024-05-31 11:59:00,  £500000,2024-04-25
National Ev Infrastructure Programme,English Heritage-Estates,Opportunity,Open,Sn2 2Eh,2024-06-06 12:00:00,  £0,2024-04-25
Bracknell Forest Council - 2.	Emergency Hormonal Contraception (Ehc),Bracknell Forest Borough Council,Opportunity,Open,England,2025-03-25 17:00:00,  £0,2024-04-25
Ticket Office Machines (Toms) & Mobile Ticket Issuing System (Mtis),Transpennine Trains Limited,Opportunity,Open,North West,2024-05-24 11:00:00,  £2500000,2024-04-25
Grounds Maintenance,Mersey And West Lancashire Teaching Hospitals Nhs Trust,Opportunity,Open,Pr86Pn,2024-06-06 12:00:00,  £0,2024-04-25
"Disposable Cubicle, Shower And Window Curtains 2025",Nhs Supply Chain,Future Opportunity,Open,S4 7Uq,,  £18750000,2024-04-25
Wyca Evaluation Services Framework,Eu Supply Limited,Opportunity,Open,Yorkshire And The Humber,2024-06-07 12:00:00,  £0,
Provision For Wall Repairs At Waltham Abbey Gardens,Lee Valley Regional Park Authority,Opportunity,Open,En2 9Hg,2024-05-28 12:00:00,  £0,2024-04-25
Adult Education And Training Dynamic Purchasing Vehicle,London Borough Of Camden,Opportunity,Open,England,2024-05-24 23:59:00,  £597000,2024-04-25
Sportswear And Leisurewear,University Of Bristol,Opportunity,Open,Bs1 5Ds,2024-05-30 00:00:00,  £600000,2024-04-25
