Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Direct Production Harvesting Contract,"Forestry Commission, acting through Forestry England (hereinafter referred to as Forestry England)",  Opportunity,  Open,  South East,"  31 May 2024, 12am","  £20,000,000",   2 May 2024
"DFU Expansion and Refurbishment, Kenneth Steele House, Bristol",South West Police Procurement Service,  Opportunity,  Open,  South West,"  24 May 2024, 12pm",  £0,   2 May 2024
MDDC202403-003 - East Cullompton Strategic Design Code,Mid Devon District Council,  Opportunity,  Open,  England,"   7 June 2024, 12pm","  £60,000",   2 May 2024
2024-2025-010 Heating 11-40 High Cross,Metropolitan Housing Trust Limited,  Opportunity,  Open,  East Midlands,"   7 June 2024, 12am",  £1,   2 May 2024
CO5998 Victoria Park Winter Events Programme,Tower Hamlets,  Opportunity,  Open,  England,"   3 June 2024, 12pm",  £0,   2 May 2024
Online Programme Management (OPM) Partnership for Online Course Development,Durham University,  Opportunity,  Open,  North East,"  24 May 2024, 12pm","  £50,000",   2 May 2024
Disabled adaptions for the Construction of an extension and Fit-out of sleeping accommodation at 13 Girton Road Extension and internal alterations,East Suffolk Council,  Opportunity,  Open,  NR30 2QF,"   4 June 2024,  2pm","  £0 to £50,000",   2 May 2024
Pharmaceuticals - 2024,Locala Community Partnerships CIC,  Opportunity,  Open,  WF17 5PW,"   3 June 2024, 12pm","  £1,000,000",   2 May 2024
RN Develop Concept Cards - RFI0034,Ministry of Defence,  Early engagement,  Open,  Any region,   2 August 2024,"Publication date 12 February 2024, last edited  2 May 2024",None
Road Weather Monitoring Service and Monitoring Station Maintenance,Swindon Borough Council,  Opportunity,  Open,  South West,"   3 June 2024,  3pm","  £100,000",   2 May 2024
TC626 Flexible Purchasing System for the Provision of Social Needs Transport - Round 1,Manchester City Council,  Opportunity,  Open,  England,"   3 June 2024, 11am","  £90,000,000",   2 May 2024
Understanding post project recycling behaviours and attitudes from  flats above shops.,London Waste & Recycling Board,  Opportunity,  Open,  London,"  24 May 2024,  5pm","  £35,000","  29 April 2024, last edited  2 May 2024"
Soft Market Test - Civils Materials & Hand Tools,Leicestershire County Council,  Early engagement,  Open,  East Midlands,  26 June 2024,Publication date  2 May 2024,None
Latchmere Academy Trust - Catering Tender,Latchmere Academy Trust,  Opportunity,  Open,  London,"   7 June 2024,  9am","  £1,000,000",   2 May 2024
Supply and Installation of Bathrooms,Plymouth Community Homes,  Opportunity,  Open,  PL6 5DH,"   5 June 2024, 10am",  £0,   2 May 2024
CCW Employee Engagement Survey Renewal,Consumer Council for Water,  Opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales","   7 June 2024, 12pm","  £1 to £28,000",   2 May 2024
specialised prosthodontic laboratory services for Somerset NHS Foundation Trust,Somerset NHS Foundation Trust,  Opportunity,  Open,  TA1 5DA,"   3 June 2024, 11:45pm","  £250,000","   2 May 2024, last edited  2 May 2024"
Provision of generator maintenance for British High Commission Yaoundé-Cameroon.,Foreign Commonwealth and Development Office,  Opportunity,  Open,  SW1A 2AH,"  30 May 2024,  4pm",  £0,   2 May 2024
C24017 Specialist Printing Graphics Fabrication Services,Kent Fire and Rescue Service,  Opportunity,  Open,  England,"   4 June 2024, 12pm","  £175,000","  30 April 2024, last edited  2 May 2024"
"AMCV 322 - Advice, Advocacy & Welfare Benefits Service",Shropshire Council,  Opportunity,  Open,  West Midlands,"   3 June 2024, 12pm","  £4,637,500",   2 May 2024
Bolsover Assembly Hall - Maintenance Project,Old Bolsover Town Council,  Opportunity,  Open,  S44 6NG,"  31 May 2024,  5pm","  £50,000",   2 May 2024
GB-Nottingham: AP2316 - Lightning Protection and Fall Arrest Equipment 2024-32,Scape Group Limited (trading as SCAPE),  Opportunity,  Open,  East Midlands,"   7 June 2024,  2pm","  £100,000 to £500,000",   2 May 2024
Supply of UV Lamps for NDTE Aircraft Inspection & Maintenance Support,Ministry of Defence,  Opportunity,  Open,  TF2 8AY,"   6 June 2024, 12pm","  £600,000",   2 May 2024
GMCA 693 Project Skyline: New GM Shared Children's Residential Care Service,Greater Manchester Combined Authority,  Opportunity,  Open,  England,"  31 May 2024, 12pm","  £64,900,000",   2 May 2024
Framework Agreement for Minor Work Refurbishment including Local Lettings Agency Works,Durham County Council,  Opportunity,  Open,  England,"   3 June 2024, 12pm",  £0,   2 May 2024
Caretakers Bungalow Refurbishment Works,SSC Partnership Ltd,  Opportunity,  Open,  SS2 6HZ,"   3 June 2024, 12pm",  £0,   2 May 2024
Medical Gas Pipeline Maintenance,Derbyshire Support & Facilities Services,  Opportunity,  Open,  S44 5BL,"   4 June 2024,  5pm","  £23,686",   2 May 2024
LCC CORP - Provision of Property Auctioneer Services - LCC35780,Lancashire County Council,  Opportunity,  Open,  North West,"  30 May 2024, 11am","  £35,000 to £140,000",   2 May 2024
Office cleaning services,East Midlands Housing Group,  Opportunity,  Open,  LE67 4JP,"   3 June 2024, 12pm","  £1,200,000",   2 May 2024
Haberdashers' Aske's Federation Trust - Grounds Maintenance Services Tender,Haberdashers' Aske's Federation Trust,  Opportunity,  Open,  London,"   7 June 2024,  4pm","  £681,300",   2 May 2024
"Supply, Delivery and Installation of Solar Carport in British Embassy Tunis",Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"  31 May 2024, 10am","  £275,000",   2 May 2024
Media Enhanced Learning system,BIP SOLUTIONS LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"   2 July 2024, 12am",  £0,   2 May 2024
250_24 Road Repair Materials,Espo,  Opportunity,  Open,  United Kingdom,"   4 June 2024, 12pm","  £10,000,000",   2 May 2024
GSV2650 - Mystery Dinner and Shopper Services,House of Commons and House of Lords (Bicameral),  Opportunity,  Open,  SW1A 0AA,"   5 June 2024, 12pm","  £20,000 to £40,000",   2 May 2024
GB-Shrewsbury: Replacement of Data Centre UPS Systems UPS1 and UPS2,Shropshire Council,  Opportunity,  Open,  West Midlands,"  23 May 2024, 12pm","  £50,000 to £100,000",   2 May 2024
Supply of Gases to the Air Quality Monitoring Network,Environment Agency,  Opportunity,  Open,  Any region,"  24 May 2024, 12pm",  £1,"  28 March 2024, last edited  2 May 2024"
Prior Information Notice - Carers' Support Service,Bracknell Forest Borough Council,  Early engagement,  Open,  RG12 1JD,  22 May 2024,Publication date  2 May 2024,None
CWC23146 - Hire of Winter Maintenance Vehicles,Wolverhampton City Council,  Opportunity,  Open,  England,"   3 June 2024, 12pm","  £800,000 to £1,600,000",   2 May 2024
Community Energy Mentorship  and Support - Market Engagement,Essex County Council,  Early engagement,  Open,  England,   2 August 2024,Publication date  2 May 2024,None
Forest Governance Markets and Climate - Phase 2,Foreign Commonwealth and Development Office,  Early engagement,  Open,  Any region,  28 June 2024,Publication date  2 May 2024,None
GB-Leeds: SB733 ACCESSIBLITY IMPROVEMENTS - JAMES GRAHAM REAR WALKWAY,Leeds Beckett University,  Opportunity,  Open,  Yorkshire and the Humber,"  23 May 2024, 12pm","  £50,000 to £100,000",   2 May 2024
Learning Frameworks 2.0,Cabinet Office,  Future opportunity,  Open,  United Kingdom,Approach to market date 10 June 2024,"  £2,300,000,000",   2 May 2024
Damp Proofing May 2024,Holbeach Parish Council,  Opportunity,  Open,  PE12 7LW,"  24 May 2024,  5pm","  £25,000","  30 April 2024, last edited  2 May 2024"
TC012 - Supply and Delivery of Bitmac and Asphalt,Manchester City Council,  Opportunity,  Open,  United Kingdom,"   3 June 2024, 11:59pm","  £748,000",   2 May 2024
PPSA - Continence Products with a home delivery service,Peninsula Purchasing & Supply Alliance,  Opportunity,  Open,  PL6 8DH,"  13 June 2024,  5pm","  £23,300,000",   2 May 2024
The Provision of Transport Safety Case Services,International Nuclear Services,  Opportunity,  Open,  WA3 6GR,"   3 June 2024, 12pm","  £200,000 to £500,000",   2 May 2024
Purchase of Student Engagement Platform,Brunel University London,  Opportunity,  Open,  UB8 3PH,"  30 May 2024,  4pm","  £165,000","  26 April 2024, last edited  2 May 2024"
Supply & Delivery of Catering Disposables,Blackpool Council,  Opportunity,  Open,  United Kingdom,"   3 June 2024, 12pm","  £150,000",   2 May 2024
Boardroom Collaboration Tool,UNIVERSITY OF SHEFFIELD,  Opportunity,  Open,  Yorkshire and the Humber,"  30 May 2024, 12pm","  £100,000",   2 May 2024
Cyber Security Services 3,Crown Commercial Service,  Opportunity,  Open,  United Kingdom,"  12 February 2027, 12am","  £255,000,000","  20 December 2022, last edited  2 May 2024"
Provision of Security and Safety Wardens,City of Portsmouth College,  Opportunity,  Open,  South East,"  27 May 2024, 12pm","  £750,000",   1 May 2024
Hurst Green Primary School - Remodelling Works Retender (May 2024),Dudley Metropolitan Borough Council,  Opportunity,  Open,  DY1 1HF,"  29 May 2024, 12pm","  £350,000 to £445,000",   1 May 2024
Heavy Tractor & Grounds Maintenance Machinery,Test Valley Borough Council,  Opportunity,  Open,  South East,"  31 May 2024, 12pm","  £180,000",   1 May 2024
Arrangement of Care,Cheshire west and Chester Borough Council,  Opportunity,  Open,  England,"   4 June 2024, 10am",  £0,   1 May 2024
Cavendish Dock Road Junction Improvements Build Contract,Westmorland and Furness Council,  Opportunity,  Open,  England,"  31 May 2024,  2pm","  £1,400,000",   1 May 2024
"Core and Shell Construction (Design and Build) at Jersey Airport, Channel Islands",Ports of Jersey,  Opportunity,  Open,  Channel Islands,"  28 May 2024,  9am",  £0,"   1 May 2024, last edited  1 May 2024"
RMBC - JP - Planned Replacement of Existing Pitched and Flat Roof Coverings,Runnymede Borough Council,  Opportunity,  Open,  KT15 2AH,"  28 May 2024, 12pm","  £13,000,000 to £15,000,000",   1 May 2024
Drainage works,Flagship Housing Group,  Opportunity,  Open,  East of England,"  10 June 2024,  2pm","  £1,000,000",   1 May 2024
Swimwear and Associated Swim Equipment for retail at The Heights and Medina Leisure Centres,Isle of Wight Council,  Opportunity,  Open,  South East,"  13 June 2024,  2pm","  £110,000",   1 May 2024
EC002 - Extra Care Tender 2024,Essex County Council,  Opportunity,  Open,  England,"  12 June 2024, 12pm","  £9,400,000",   1 May 2024
North Northamptonshire Council - NHS Health Checks Dynamic Purchasing System (DPS),North Northamptonshire Council,  Opportunity,  Open,  East Midlands,"   5 June 2024, 12pm","  £1,050,000",   1 May 2024
GB-London: LGA Transformation Leadership Essentials Course and Councillor Peer Training,Improvement and Development Agency for Local Government,  Opportunity,  Open,  Any region,"  29 May 2024, 11:45pm","  £10,000 to £25,000",   1 May 2024
"Recycling, Reuse or Disposal of Waste",Bournemouth Christchurch and Poole Council,  Opportunity,  Open,  South West,"  24 May 2024,  2pm","  £2,917,269.55","  12 April 2024, last edited  1 May 2024"
Software developer for a web-app. Digital health intervention for maternal alcohol use,Liverpool John Moores University,  Opportunity,  Open,  North West,"  24 May 2024, 12pm",  £1,   1 May 2024
North Northamptonshire Council - Provision of Dorking House Supported Accommodation,North Northamptonshire Council,  Opportunity,  Open,  East Midlands,"  29 May 2024, 12pm","  £902,562","  17 April 2024, last edited  1 May 2024"
Westfield Primary Mains Pipework Replacement,City of York Council,  Opportunity,  Open,  Yorkshire and the Humber,"  29 May 2024, 12pm","  £370,000",   1 May 2024
Installation of Kitchen Units,Plymouth Community Homes,  Opportunity,  Open,  PL6 5DH,"  31 May 2024, 10am",  £0,   1 May 2024
Mental Health Central Access Point (MHCAP) 24/7 Urgent Mental Health Helpline,Leicestershire Partnership NHS Trust,  Opportunity,  Open,  LE19 1WY,"  31 May 2024,  5pm","  £2,685,484",   1 May 2024
Powis Market Hall Improvements,Oswestry Town Council,  Opportunity,  Open,  SY111PZ,"  31 May 2024, 12pm","  £18,000",   1 May 2024
London and Quadrant Housing Trust - Ironmongery Manufacturer Framework 2024-2028,L&Q Group,  Opportunity,  Open,  E15 4PH,"  31 May 2024,  6pm","  £0 to £1,000,000",   1 May 2024
909 - Rapid Thermal Annealer,Aston University,  Opportunity,  Open,  B4 7ET,"   3 June 2024, 12pm","  £200,000",   1 May 2024
NYC Swing Bridges Maintenance 2024 - 2026,The North Yorkshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 May 2024, 12pm","  £550,000 to £650,000",   1 May 2024
CP2514-24 Restoring Stover Park Project: Repair & Conservation of The Gatehouse - Contractor Role,Devon County Council,  Opportunity,  Open,  England,"  29 May 2024, 12pm","  £180,000",   1 May 2024
Air Conditioning & HVAC PPM,Stockport Homes Ltd,  Opportunity,  Open,  England,"  31 May 2024,  5pm","  £45,000","   1 May 2024, last edited  1 May 2024"
HCC024/24- Provision of Carers Breaks Services,Hertfordshire County Council  - Adult Care Services,  Opportunity,  Open,  SG13 8DE,"  26 June 2024, 12pm","  £14,591,510 to £14,600,000",   1 May 2024
Readiness Checks of Greater Manchester Combined Authority and West Midlands Combined Authority,"DEPARTMENT FOR LEVELLING UP, HOUSING AND COMMUNITIES",  Opportunity,  Open,  United Kingdom,"  24 May 2024, 12pm","  £110,000",   1 May 2024
2425-0013 Draught Beer and Cider supply to Islington Assembly Hall,Islington Council,  Opportunity,  Open,  England,"   3 June 2024, 12pm","  £425,000",   1 May 2024
Supply of Kitchen Units,Plymouth Community Homes,  Opportunity,  Open,  PL6 5DH,"  31 May 2024, 10am",  £0,   1 May 2024
To fix the Studio Roof at the Community Centre to prevent further leaks,Holmes Chapel Parish Council,  Opportunity,  Open,  CW4 8AA,"   2 July 2024, 12pm",  £0,   1 May 2024
North Northamptonshire Council Provision of Building Cleaning Services 2024-2028,North Northamptonshire Council,  Opportunity,  Open,  East Midlands,"  31 May 2024, 12pm","  £1,860,000 to £2,058,000","   1 May 2024, last edited  1 May 2024"
"Framework for the Supply of Specialised (Domestic) Removals, Storage and Disposal Services",Kirklees Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 May 2024,  1pm","  £1,200,000",   1 May 2024
Sandwell Metropolitan Borough Council Smoking Cessation Service Pre Market Engagement,Sandwell Metropolitan Borough Council,  Early engagement,  Open,  B69 3DE,   1 August 2024,"Publication date 26 March 2024, last edited  1 May 2024",None
Customer Care Provider for private sale homes at Ebury Phase 1,capitalEsourcing,  Opportunity,  Open,  London,"  31 May 2024, 12pm","  £450,000",   1 May 2024
PAN3011 - BME Specialist Safe Accommodation Counselling Services,Leicester City Council,  Opportunity,  Open,  East Midlands,"  30 May 2024, 12pm","  £90,000",   1 May 2024
ESPH NB RDC Grounds Maintenance Services (ESPH638 JB),Rother District Council,  Opportunity,  Open,  TN39 3JX,"   7 June 2024,  1pm","  £4,920,000",   1 May 2024
Provision of Independent Assurance of Air System safety Cases for 1Gp and 22Gp,Ministry of Defence,  Opportunity,  Open,  BS34 8JH,"  31 May 2024, 11:59pm","  £100,000",   1 May 2024
Printing of 'Our North Tyneside' Magazine 2024,North Tyneside Council,  Opportunity,  Open,  NE27 0BY,"  31 May 2024, 12pm","  £80,000","  26 April 2024, last edited  1 May 2024"
Brain Training Game Development Services,University of Exeter,  Opportunity,  Open,  South West,"  30 May 2024, 12pm","  £1 to £300,000",   1 May 2024
Project Management Consultant for Shire Hall redevelopment.,Woodbridge Town Council,  Opportunity,  Open,  IP12 4LP,"  31 May 2024,  9pm","  £25,000 to £60,000",   1 May 2024
Radiometric Monitoring Equipment,Nuclear Waste Services,  Opportunity,  Open,  CA20 1DB,"  29 May 2024,  5pm","  £117,000","   1 May 2024, last edited  1 May 2024"
23030 Cambridgeshire County Council Asbestos Removal & Demolition Services Framework,Cambridgeshire County Council,  Opportunity,  Open,  England,"  17 June 2024, 12pm","  £2,000,000 to £3,000,000",   1 May 2024
EHRC 2425-05 People Survey,Equality and Human Rights Commission,  Opportunity,  Open,  England,"  12 June 2024,  1pm","  £0 to £15,000",   1 May 2024
BBC 0524 - Design Proposals for the Refurbishment of John Warner Sports Centre,BBC - Leisure & Culture,  Opportunity,  Open,  EN8 9XB,"  17 June 2024, 12pm",  £0,   1 May 2024
Goodley Dale Primary School Mechanical & Electrical Works Phase 2,Westmorland and Furness Council,  Opportunity,  Open,  England,"  29 May 2024,  2pm","  £270,000","   1 May 2024, last edited  1 May 2024"
Heron Hill Primary School Mechanical & Electrical Works Phase 1,Westmorland and Furness Council,  Opportunity,  Open,  England,"  29 May 2024,  2pm","  £370,000","   1 May 2024, last edited  1 May 2024"
Overseas School Trips for Ormiston Sir Stanley Matthews Academy,Ormiston Academies Trust (OAT),  Opportunity,  Open,  ST3 3JD,"  31 May 2024, 12pm","  £500,000 to £1,500,000",   1 May 2024
Furniture Removal,7F Commercial Services,  Opportunity,  Open,  AL8 6XF,"  30 May 2024, 12pm","  £220,000","   1 May 2024, last edited  1 May 2024"
Truro Park and Ride Bus Service,Cornwall Council,  Opportunity,  Open,  South West,"  26 June 2024,  3pm","  £4,000,000 to £4,500,000",   1 May 2024
St Mary's Catholic High School ~ Catering Tender,St Mary's Catholic High School,  Opportunity,  Open,  North West,"   7 June 2024, 12pm","  £655,000",   1 May 2024
Adopt South Digital Marketing,Hampshire County Council,  Opportunity,  Open,  SO23 8UJ,"   3 June 2024,  2pm","  £425,000 to £550,000",   1 May 2024
Vestry House Museum Decant,London Borough of Waltham Forest,  Opportunity,  Open,  England,"  31 May 2024,  5pm","  £50,000 to £75,000","  29 April 2024, last edited  1 May 2024"
Sandwell Metropolitan Borough Council Active Greenspaces Service,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B69 3DE,"   3 June 2024,  1pm","  £210,000","   1 May 2024, last edited  1 May 2024"
Keelex 176 Limited - Solar Panel,SWALLOWCOURT LIMITED,  Opportunity,  Open,  South West,"  29 May 2024,  5pm","  £35,000 to £55,000",   1 May 2024
Internship Provider for Postgraduate Students (April 2024),University of Hertfordshire,  Opportunity,  Open,  AL10 9AB,"  27 May 2024, 12pm","  £12,600,000","  26 April 2024, last edited  1 May 2024"
CA14011 - Framework agreement for the Employability Programmes in Health and Social Care Sector,The Prince's Trust,  Opportunity,  Open,  SE1 8EG,"  31 May 2024, 12pm","  £840,000",   1 May 2024
RB713 Provision of Shuttle Bus,Leeds Beckett University,  Opportunity,  Open,  Yorkshire and the Humber,"   3 June 2024, 12pm","  £12,000",   1 May 2024
"Refurbishment of 2 Charnwood Avenue, Droylsden",Tameside Metropolitan Borough Council,  Opportunity,  Open,  M34 2WY,"  29 May 2024, 12pm","  £40,000",   1 May 2024
Bed and Breakfast Hotels For Temporary Accommodation,Haringey Council,  Opportunity,  Open,  London,"  31 May 2024, 12pm","  £50,000",   1 May 2024
TEC Partnership - Kitchen Deep Clean,TEC Partnership,  Opportunity,  Open,  DN34 5BQ,"  31 May 2024, 12pm",  £0,"   1 May 2024, last edited  1 May 2024"
Voluntary and Community Sector (VCS) Infrastructure across Essex,Essex County Council,  Early engagement,  Open,  England,  22 July 2024,Publication date  1 May 2024,None
REQUEST FOR INFORMATION  For Supported accommodation-property availability,Herefordshire Council,  Early engagement,  Open,  England,   1 August 2024,"Publication date  1 May 2024, last edited  1 May 2024",None
WCC - Market Testing Supported Accommodation for Children in Care/Care Leavers and Unaccompanied Asylum-Seeking Children (UASC) aged 16/17 and those who continue to need support post 18,Warwickshire County Council (WCC),  Early engagement,  Open,  CV34 4RL,   1 August 2024,Publication date  1 May 2024,None
CAD and Electronic Data Consultancy Services,South London and Maudsley NHS Trust,  Opportunity,  Open,  SE5 8AZ,"  28 May 2024, 12pm","  £40,000 to £50,000",   1 May 2024
CA13980 - Washroom Services,Walsall College,  Opportunity,  Open,  WS1 1XN,"  31 May 2024, 12pm",  £0,   1 May 2024
Training to Support The NHS Health Checks Programme,London Borough of Bromley,  Opportunity,  Open,  England,"  30 May 2024, 12pm","  £40,000",   1 May 2024
Manor Gatehouse Refurbishment,Dartford Borough Council,  Opportunity,  Open,  South East,"  30 May 2024, 12pm","  £320,000",   1 May 2024
860607 Adaptations to a property located in Chesterfield.,Derbyshire County Council,  Opportunity,  Open,  England,"  29 May 2024, 11am","  £52,000",   1 May 2024
QQ24/002 A Retail and Town Centre Study,Tamworth Borough Council,  Opportunity,  Open,  B79 7BZ,"  29 May 2024, 12pm",  £0,   1 May 2024
Young Carers in Schools evaluation: Invitation to Tender,CARERS TRUST,  Opportunity,  Open,  England,"  22 May 2024, 11:59pm","  £30,000 to £40,000",   1 May 2024
"Culturally Specific Orthodox Jewish Universal Youth Services - Centre Based (locality), Outreach and Detached Youth Programmes",London Borough of Hackney,  Opportunity,  Open,  England,"   5 June 2024, 12pm","  £584,648.50",   1 May 2024
Regulatory Physical Testing Services,International Nuclear Services,  Opportunity,  Open,  WA3 6GR,"  31 May 2024, 12pm","  £100,000 to £1,000,000","  30 April 2024, last edited  1 May 2024"
British Library Security Systems Consultant,British Library,  Opportunity,  Open,  Any region,"   5 June 2024, 12am","  £625,000",   1 May 2024
RMCS 042 - Supply & Delivery of Kitchen Disposables & Light Equipment,Shropshire Council,  Opportunity,  Open,  West Midlands,"  31 May 2024, 12pm","  £355,000",   1 May 2024
T23/0065 - Private Building Control Services,Northumbria University,  Opportunity,  Open,  North East,"   4 June 2024, 12pm","  £400,000",   1 May 2024
Family time contact services,London Borough of Barking and Dagenham,  Opportunity,  Open,  IG11 7LU,"   7 June 2024, 12pm",  £1,  30 April 2024
Green Skills Equipment,Nottingham College,  Opportunity,  Open,  NG1 7HB,"  30 May 2024, 12pm","  £185,000 to £200,000","  30 April 2024, last edited 30 April 2024"
City of London School for Girls Summer Works 2024-2027 consultancy services,City of London Corporation,  Opportunity,  Open,  London,"  11 June 2024, 12pm","  £500,000",  30 April 2024
Design Print and Posting Solution Service,Salix Homes Limited,  Opportunity,  Open,  North West,"   4 June 2024,  1pm","  £280,000",  30 April 2024
"Tender for Roof Gutter Upgrades at Marlbrook Primary School, Hereford",Herefordshire Council,  Opportunity,  Open,  West Midlands,"  28 May 2024, 12pm","  £105,000",  30 April 2024
PHG Kitchen and Bathroom Maintenance - Package of works,Progress Housing Group,  Opportunity,  Open,  England,"  31 May 2024, 12pm","  £150,000",  30 April 2024
"Testing, Servicing, Maintenance and Repairs to Hoists and Freestanding Equipment",Bath and North East Somerset Council,  Opportunity,  Open,  England,"  30 May 2024, 12pm","  £180,000 to £300,000","  30 April 2024, last edited 30 April 2024"
RFI0039 RN Modular/Containerised ASW Concepts,Ministry of Defence,  Early engagement,  Open,  Any region,  31 May 2024,Publication date 30 April 2024,None
Nottingham City Council White Goods Requirements,Nottingham City Council,  Opportunity,  Open,  United Kingdom,"  29 May 2024,  5pm",  £0,  30 April 2024
"PRP254 Electrical Rewire at Marsh Lane Primary School, MARSH LANE PRIMARY SCHOOL, SCHOOL LANE, SHEFFIELD S21 5RS",Derbyshire County Council,  Opportunity,  Open,  England,"  28 May 2024, 11am","  £65,000",  30 April 2024
ISO 11 Incinerator life extension -  Project Management,THE PIRBRIGHT INSTITUTE,  Opportunity,  Open,  GU24 0NF,"  17 June 2024, 12pm","  £75,000 to £100,000",  30 April 2024
Administration and Management of the Matrix Standard - Market Engagement Event,Department for Education,  Future opportunity,  Open,  Any region,Approach to market date  1 July 2024,"  £0 to £5,000,000",  30 April 2024
"Herald Court, Dudley - Rebrand",Stonewater Limited,  Opportunity,  Open,  West Midlands,"   4 June 2024, 12pm","  £1,200,000",  30 April 2024
NHSE963 - Adult Critical Care Transfer Service,NORTH OF ENGLAND COMMISSIONING SUPPORT,  Opportunity,  Open,  Yorkshire and the Humber,"  24 May 2024, 12pm","  £2,089,000","  10 April 2024, last edited 30 April 2024"
Residents Survey 2024 - 2026,North Tyneside Council,  Opportunity,  Open,  NE27 0BY,"  31 May 2024, 12pm","  £80,000",  30 April 2024
Supply of PPE,ANSA,  Opportunity,  Open,  CW10 9PW,"  31 May 2024, 12pm","  £800,000",  30 April 2024
GB-Bath: The Provision of 8W Laboratory Refurbishment,University of Bath,  Opportunity,  Open,  South West,"  28 May 2024,  2pm","  £1,000,000 to £5,000,000",  30 April 2024
PS24128 Eastern Europe Accelerator Programme,UK SHARED BUSINESS SERVICES LIMITED,  Opportunity,  Open,  United Kingdom,"  17 June 2024, 11am","  £995,000",  30 April 2024
Innovating Traffic Management Fund EOI Event,West Midlands Combined Authority,  Early engagement,  Open,  West Midlands,  28 May 2024,Publication date 30 April 2024,None
Supply of 1 x Telescopic Handler c/w Bucket for Outright Purchase,Stoke-on-Trent City Council,  Opportunity,  Open,  England,"  28 May 2024, 12pm","  £150,000",  30 April 2024
Supply of Glazing Materials,Newcastle City Council,  Opportunity,  Open,  North East,"  31 May 2024, 10am","  £200,000 to £300,000",  30 April 2024
"Student Support Services ""Be Well Talk Now""",University of Bath,  Opportunity,  Open,  South West,"   4 June 2024,  2pm","  £120,000",  30 April 2024
Catering Services,BIP SOLUTIONS LIMITED,  Opportunity,  Open,  South East,"   7 June 2024,  1pm","  £3,000,000",  30 April 2024
Barbican Centre Catering Services - Tender Opportunity,City of London Corporation,  Opportunity,  Open,  London,"   3 June 2024, 12pm","  £55,500,000",  30 April 2024
Banking Services,Nottinghamshire County Council,  Opportunity,  Open,  England,"  30 May 2024, 12pm","  £200,000",  30 April 2024
GB-London: 002400 - Get Ready for Business Growth - Phase 1 Evaluation,The British Library,  Opportunity,  Open,  Any region,"  27 May 2024, 12pm","  £10,000 to £25,000","  29 April 2024, last edited 30 April 2024"
CBC-1600-FA-MD Eastern Highways Alliance Framework 4,Central Bedfordshire Council,  Opportunity,  Open,  SG17 5TQ,"   3 June 2024, 12pm",  £0,  30 April 2024
Brighter Places Repairs and Voids Contract,Echelon Consultancy Ltd,  Opportunity,  Open,  South West,"   3 June 2024, 12pm","  £93,750,000",  30 April 2024
Town Hall Mobile Bar Service,BIP SOLUTIONS LIMITED,  Opportunity,  Open,  East of England,"  27 May 2024, 12pm","  £250,000",  30 April 2024
Tender for the provision of refurbishment of part of Kirk Hallam Changing Rooms to form a community space,Erewash Borough Council,  Opportunity,  Open,  East Midlands,"  31 May 2024, 12pm","  £27,788",  30 April 2024
Theatre Lighting Upgrade Project,BRENTWOOD THEATRE TRUST,  Early engagement,  Open,  CM15 8AG,  30 June 2024,Publication date 30 April 2024,None
Multi-Use Games Area - Temple Herdewyke,Burton Dassett Parish Council,  Early engagement,  Open,  CV47 2PB,  31 July 2024,"Publication date 30 April 2024, last edited 30 April 2024",None
Gilbertstone Primary School ~ Catering Tender,Gilbertstone Primary School,  Opportunity,  Open,  West Midlands,"  14 June 2024, 12pm","  £650,000",  30 April 2024
MBC Pond Desilting and Bank Reconstruction,Maidstone Borough Council,  Opportunity,  Open,  England,"  13 June 2024, 12pm","  £126,000",  30 April 2024
The Supply and Installation of Festive Lights   2024 - 2027 for Ashfield District Council,Nottinghamshire County Council,  Opportunity,  Open,  East Midlands,"   3 June 2024, 12pm","  £550,000",  30 April 2024
All Saints Academy ~ Cleaning Tender,All Saints Academy,  Opportunity,  Open,  South West,"  14 June 2024, 12pm","  £1,025,000",  30 April 2024
Management of Rental Portfolio (Aequus Developments Ltd),Aequus Developments Ltd,  Opportunity,  Open,  England,"  14 June 2024, 12pm","  £80,000",  30 April 2024
"CA13994 - South Devon College ITT Legal Services - Including Lot 1 - HR Retainer, College / Student Matters And Lot 2 - Property Services.",South Devon College,  Opportunity,  Open,  TQ4 7EJ,"  23 May 2024, 12pm","  £200,000",  30 April 2024
Mobile Elevated Working Platforms Framework 2024,Leeds City Council,  Opportunity,  Open,  Yorkshire and the Humber,"  29 May 2024, 12pm","  £160,000",  30 April 2024
Pest Control Services,Mhs Homes Group,  Opportunity,  Open,  South East,"  31 May 2024, 12pm","  £180,000 to £300,000","  29 April 2024, last edited 30 April 2024"
RB714 External Audit,Leeds Beckett University,  Opportunity,  Open,  Yorkshire and the Humber,"   4 June 2024, 12pm","  £50,000",  30 April 2024
FHG24007 Soft Market Testing: Customer Centric Training,Futures Housing Group,  Early engagement,  Open,  United Kingdom,  30 July 2024,Publication date 30 April 2024,None
